title,point,date,review
어벤져스: 엔드게임,10,19.04.24,정말로 깔끔한 엔드 게임
어벤져스: 엔드게임,10,19.04.24,이보다 훌륭한 피날레는 없다.
어벤져스: 엔드게임,10,19.04.24,나는.. 나는.. 아이언맨이다..
어벤져스: 엔드게임,10,19.04.24,울었어요 행복했습니다
어벤져스: 엔드게임,10,19.04.24,10년의 퍼즐이 맞춰짐 ㅠㅠ
어벤져스: 엔드게임,10,19.04.24,런닝타임 3시간이라 엄청기네 하고봤는데보다보니 시간 훅가버리네요 굿
어벤져스: 엔드게임,10,19.04.24,감동의 쓰나미~~~~ 그동안 함께했던 친구들~~
어벤져스: 엔드게임,10,19.04.24,3000만큼 재밌고 화장실 갈 틈도 없었고 정말 가고싶다면 그냥 바지에 지릴정도로 재밌었음 ㅠㅠㅠㅠ
어벤져스: 엔드게임,10,19.04.24,어벤져스 엔드게임 - 아임 아이언맨
어벤져스: 엔드게임,10,19.04.24,"Farewell, my heros..."
어벤져스: 엔드게임,2,19.04.24,허세와 감동으로 버무려진 시간낭비 무비 ㅎ 이런걸 보면서 쓸데없이 찔찔 짜는건 참..
어벤져스: 엔드게임,10,19.04.24,그동안 행복했어요.고마워요.
어벤져스: 엔드게임,10,19.04.24,여러분 인생영화입니다 마블이 또 사고쳤어요sf영화보고 울기는 또 처음;;보다가 눈물이 나는 자신에게 당황하게 됩니다감격스럽기도하고 슬프기도해서 순간순간 울컥하게됩니다
어벤져스: 엔드게임,10,19.04.24,히어로는 악당과 싸우고 이기는거라고 생각하는 사람들의 생각을 완전히 바뀌게 할 수 있는 영화.... 마블은 미친놈들이다... 진짜 스포 당하지말고 꼭 보세요...
어벤져스: 엔드게임,10,19.04.24,이때까지 나온 마블 영화의 엔딩 다웠습니다. 나머지는 직접 보세요
어벤져스: 엔드게임,8,19.04.24,너무 큰 기대하고 봐서 그런가... 약간 실망스러운 설정...하지만 러닝타임 내내 집중했습니다적절한 코믹 센스는 역시 마블따라갈 수가없구나 무릎을 탁침!ㅜㅠ 로다주 에반스 엄지척!
어벤져스: 엔드게임,10,19.04.24,I am IRONMAN
요로나의 저주,3,19.04.24,소름돋지만 재미는 없었다
어벤져스: 엔드게임,10,19.04.24,진짜 보고싶다라고 생각하게 만드 영화 반지의 제왕1편끝나고 2편기다리 던 그때 이후 처음이다
어벤져스: 엔드게임,10,19.04.24,너무잼 단지 그분이가시는건ㅠㅠ
어벤져스: 엔드게임,10,19.04.24,역대급 영화.. 말이 필요없다
어벤져스: 엔드게임,6,19.04.24,돌스톤 그리 쉽게 뺏어가는거면 인피니티워에서는 뭐한거냐 마무리 헬조선 수준
어벤져스: 엔드게임,10,19.04.24,"이게 끝이 아니길 바랍니다, 늙어서도 마블 영화 보고싶어요"
어벤져스: 엔드게임,10,19.04.24,너무 재밌었어요!꼭보세요!
어벤져스: 엔드게임,10,19.04.24,스포조심하세요 진심!! 쿠키영상은 하나도 없습니다
어벤져스: 엔드게임,10,19.04.24,너무 재밌당 두반봐라 진짜
어벤져스: 엔드게임,6,19.04.24,여친 때문에 억지로 봤지만 전 별로 였어요~ 생각보다 넘 지루... 솔직히 이게 뭐가 그렇게 재미있다는 거지..
어벤져스: 엔드게임,10,19.04.24,쿠키 없네요 ㅠ 아쉽게 다음 스파이더맨도 기대되네요
어벤져스: 엔드게임,10,19.04.24,아~~~ 머라 말해야. 할지 ..  슬프다. 웃기다. 슬프다. 웃기다 ㅜㅜ
미성년,10,19.04.24,김윤석!! 사랑해요 아자씨♥?
어벤져스: 엔드게임,10,19.04.24,재밌어요 시리즈의 마지막을 꼭 보시는걸 추천합니다
어벤져스: 엔드게임,10,19.04.24,흥분이가시질않네요대박!!
어벤져스: 엔드게임,6,19.04.24,뭐 너무길지만 뭐 그래요...
어벤져스: 엔드게임,10,19.04.24,지금까지 이런영화는 없었다..
어벤져스: 엔드게임,10,19.04.24,아임 아이언맨 ㅠㅠㅠ미쳤어
어벤져스: 엔드게임,10,19.04.24,이게 마블영화다. 뜬금없는 캡틴 마블 때문에 이미지 실추가 있었지만 인생의 몇년 동안 마블 영화가 있어 즐거웠다.
