3,"강남에 나타난 마이크로닷…""변제·합의 최선"" '빚투' 논란 이후 첫 심경",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003438183&date=20190409&type=1&rankingSeq=3&rankingSectionId=102
4,"로버트 할리 '마약 혐의'에 누리꾼들 ""변호사가 인터넷으로 마약을?"" 의혹",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=008&aid=0004201428&date=20190409&type=1&rankingSeq=4&rankingSectionId=102
5,"김학의, 반격…성폭행 피해주장 여성 무고혐의 고소",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=215&aid=0000758066&date=20190409&type=1&rankingSeq=5&rankingSectionId=102
6,"김학의, 반격 나섰다…성폭행 피해주장 여성 무고혐의 고소",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0010750318&date=20190409&type=1&rankingSeq=6&rankingSectionId=102
7,‘마약 혐의 체포’ 로버트 할리 이틀째 조사…“일부 시인”,https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=056&aid=0010689482&date=20190409&type=2&rankingSeq=7&rankingSectionId=102
8,"""로버트 할리 너 마저""... 연예 경찰 수사로 초토화되나",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=029&aid=0002519586&date=20190409&type=1&rankingSeq=8&rankingSectionId=102
9,"마이크로닷 부모 ""IMF 터져서 어쩔 수 없었다"" 해명 논란",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002898100&date=20190409&type=1&rankingSeq=9&rankingSectionId=102
10,"'음란물 유포' 로이킴, 오늘 새벽 기습입국…팬들 ""퇴출하라""",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=214&aid=0000939152&date=20190409&type=1&rankingSeq=10&rankingSectionId=102
1,"현대차, ‘베뉴’ 렌더링 이미지 공개… 밀레니얼 세대위한 야심작",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003209711&date=20190409&type=1&rankingSeq=1&rankingSectionId=103
2,"현대차, SUV 막내 생긴다… 신형 ‘베뉴’ 렌더링 이미지 공개",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=366&aid=0000431238&date=20190409&type=1&rankingSeq=2&rankingSectionId=103
3,"‘마약 혐의’ 로버트 할리, ‘라디오스타’ 통편집···방송가 퇴출",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=032&aid=0002933416&date=20190409&type=1&rankingSeq=3&rankingSectionId=103
4,탕수육 안 팔아도 아침부터 줄을 서는 중국집,https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=047&aid=0002223157&date=20190409&type=1&rankingSeq=4&rankingSectionId=103
5,현대차 SUV의 새로운 막내 '베뉴'… 렌더링 공개,https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=079&aid=0003213918&date=20190409&type=1&rankingSeq=5&rankingSectionId=103
6,"[단독] ""르노삼성 파업 지속땐 수출 8만대 날아갈수도""",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=009&aid=0004334956&date=20190408&type=1&rankingSeq=6&rankingSectionId=103
7,"현대차, 밀레니얼 세대 겨냥 SUV ‘베뉴’ 랜더링 공개",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=092&aid=0002159595&date=20190409&type=1&rankingSeq=7&rankingSectionId=103
8,달걀 얼마나 먹어야 할까,https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=444&aid=0000001202&date=20190409&type=1&rankingSeq=8&rankingSectionId=103
9,"현대차, 코나보다 작은 SUV '베뉴' 렌더링 공개",https://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=015&aid=0004121704&date=20190409&type=1&rankingSeq=9&rankingSectionId=103
